symbol,name,price,changesPercentage,change,dayLow,dayHigh,yearHigh,yearLow,marketCap,priceAvg50,priceAvg200,exchange,volume,avgVolume,open,previousClose,eps,pe,earningsAnnouncement,sharesOutstanding,timestamp
ENB,Enbridge Inc.,44.3613,1.4668,0.6413,43.73,44.455,45.78,32.85,96617136948.0,43.0984,39.5022,NYSE,1702422.0,4111216.0,43.73,43.72,2.07,21.43,2025-02-14T13:30:00.000+0000,2177960000.0,1738778046
UPS,"United Parcel Service, Inc.",111.7921,0.0198,0.0221,111.045,112.14,158.95,109.4,95399990392.0,128.2688,133.6427,NYSE,2986023.0,5306181.0,111.72,111.77,6.78,16.49,2025-04-21T12:30:00.000+0000,853369696.0,1738778047
RELX,RELX Plc,50.57,1.424,0.71,50.2203,50.5895,50.5895,40.25,93717170694.0,47.1124,46.0002,NYSE,165774.0,667567.0,50.43,49.86,1.24,40.78,2025-02-13T08:30:00.000+0000,1853216743.0,1738778044
SOJE,Southern Company (The) Series 2,18.55,1.2002,0.22,18.42,18.6,22.35,17.75,93108849602.0,19.04896,20.113825,NYSE,35231.0,74837.0,18.42,18.33,0.0,,2023-03-31T00:00:00.000+0000,4973299290.0,1738777768
ELV,Elevance Health Inc.,400.65,-0.3309,-1.33,395.76,401.45,567.26,362.21,92919949950.0,388.3446,482.0879,NYSE,398813.0,1876588.0,399.99,401.98,25.68,15.6,2025-04-16T12:30:00.000+0000,231923000.0,1738778014
APO,"Apollo Global Management, Inc.",163.95,0.8365,1.36,160.4,165.05,189.49,95.11,92765533200.0,169.876,134.1303,NYSE,1364936.0,5619838.0,161.17,162.59,9.22,17.78,2025-04-30T12:30:00.000+0000,565816000.0,1738778019
SOJC,The Southern Company JR 2017B NT 77,22.4,0.8101,0.18,22.32,22.4734,25.066,21.63,92749905427.0,22.71358,23.556635,NYSE,19455.0,43825.0,22.34,22.22,0.84,26.67,2023-03-31T00:00:00.000+0000,4102636183.0,1738777896
SOJD,Southern Company (The) Series 2,20.88,1.1138,0.23,20.68,20.94,24.55,20.25,92491859236.0,21.3606,22.3257,NYSE,42789.0,126308.0,20.77,20.65,0.0,,2023-03-31T00:00:00.000+0000,4404612498.0,1738777955
INFY,Infosys Limited,22.225,-0.6926,-0.155,22.02,22.26,23.63,16.04,92284200750.0,22.4386,20.89335,NYSE,4769326.0,7920028.0,22.12,22.38,0.79,28.13,2025-04-16T10:30:00.000+0000,4152270000.0,1738778047
ICE,"Intercontinental Exchange, Inc.",160.292,0.6101,0.972,159.61,161.6376,167.99,124.34,92035979684.0,153.8628,150.23814,NYSE,1255804.0,3055398.0,160.85,159.32,4.17,38.44,2025-02-06T13:30:00.000+0000,574177000.0,1738778042
